"EMISION","CUPON","EMISOR","NOMBRE EMISOR","CUSIP_EMISOR","CUSIPEMISION","countrydomicile","vencimiento","INDUSTRIA","CODIGO INDUSTRIA","FECHA EMISION","PRECIO EMISION","YIELD","TIPO CUPON","convertible","foreign_currency","PRINCIPAL","perpetual","Campo19","Campo20","Campo21","Campo22","Campo23","Campo24","Campo25","Campo26","Campo27","Campo28","Campo29"
"115430","7.4","33717","BANK AMER CORP","060505","AG9","USA","2011-01-15 00:00:00","2","20","2001-01-17 00:00:00","99.496","7.47214","F","N","N","1000","N","","","","","","","","","","",""
"115821","5.6","3290","PFIZER INC","717081","AL7","USA","2006-02-01 00:00:00","1","10","2001-01-25 00:00:00","99.97","5.63191","F","N","N","1000","N","","","","","","","","","","",""
"116017","6.8","1664","FORD MTR CR CO","345397","TR4","USA","2006-02-01 00:00:00","2","21","2001-01-25 00:00:00","99.825","6.9169","F","N","N","1000","N","","","","","","","","","","",""
"116020","7.3","1664","FORD MTR CR CO","345397","TS2","USA","2011-02-01 00:00:00","2","21","2001-01-25 00:00:00","99.644","7.426","F","N","N","1000","N","","","","","","","","","","",""
"116050","6.5","32503","CIT GROUP INC","125577","AM8","USA","2006-02-07 00:00:00","2","21","2001-01-31 00:00:00","99.819","6.543","F","N","N","1000","N","","","","","","","","","","",""
"116330","6.1","1284","DOW CHEM CO","260543","BL6","USA","2011-02-01 00:00:00","1","10","2001-02-05 00:00:00","98.981","6.266","F","N","N","1000","N","","","","","","","","","","",""
"116970","6.75","701","CAMPBELL SOUP CO","134429","AM1","USA","2011-02-15 00:00:00","1","10","2001-02-15 00:00:00","99.629","6.80155","F","N","N","1000","N","","","","","","","","","","",""
"117144","6.35","4354","UNITED TECHNOLOGIES CORP","913017","BD0","USA","2011-03-01 00:00:00","1","10","2001-02-21 00:00:00","99.764","6.38207","F","N","N","1000","N","","","","","","","","","","",""
"118799","5.75","950","COCA COLA CO","191216","AH3","USA","2011-03-15 00:00:00","1","10","2001-03-19 00:00:00","99.546","5.81032","F","N","N","1000","N","","","","","","","","","","",""
"118877","5.97","1284","DOW CHEM CO","260543","BH5","USA","2009-01-15 00:00:00","1","10","1999-01-05 00:00:00","","","F","N","N","1000","N","","","","","","","","","","",""
"118922","5.34","965","COLGATE PALMOLIVE CO","19416Q","CW8","USA","2006-03-27 00:00:00","1","10","2001-03-21 00:00:00","100","5.34","F","N","N","1000","N","","","","","","","","","","",""
"118935","5.5","34281","TARGET CORP","87612E","AD8","USA","2007-04-01 00:00:00","1","14","2001-03-21 00:00:00","99.535","5.592","F","N","N","1000","N","","","","","","","","","","",""
